key,state_name,state,city,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter
0,Florida,FL,Hialeah,"224,669","9,511","6,066",73,697,2,699,119,253,"69,599",,5.6,3.3,"234,182",774,13
1,New Mexico,NM,Albuquerque,"545,852","229,933","14,878","20,627","13,674",418,14092,"1,224","10,043","255,055",,6.6,7.7,"558,165","4,325",37
2,Wisconsin,WI,Madison,"233,209","176,463","16,507",763,"17,126",67,17193,374,"5,961","15,948",,2.1,3.6,"242,523",884,5
3,Oklahoma,OK,Tulsa,"391,906","227,021","61,230","19,473","8,926",278,9204,473,"19,239","55,266",4.0,15.2,9.7,"394,498","3,827",60
4,Nevada,NV,North Las Vegas,"216,961","67,687","41,561",871,"13,122","1,684",14806,377,"7,525","84,134",,3.1,8.0,"225,632","1,806",7
5,Texas,TX,San Antonio,"1,327,407","353,106","83,365","2,771","30,596","1,097",31693,"2,105","15,415","838,952",,5.1,6.3,"1,399,725","8,828",72
6,California,CA,Bakersfield,"347,483","131,311","26,677","2,265","20,496",357,20853,681,"7,491","158,205",,6.6,5.1,"361,859","1,857",24
7,Oklahoma,OK,Oklahoma City,"579,999","328,582","85,744","18,208","23,051",464,23515,700,"23,212","100,038",,10.2,8.3,"605,034","4,998",62
8,New Jersey,NJ,Jersey City,"247,597","53,236","59,060",586,"58,106",95,58201,"2,423","5,835","68,256",,7.8,6.4,"256,886","1,655",20
9,Arizona,AZ,Phoenix,"1,445,632","672,573","86,788","23,327","43,894","2,055",45949,"2,242","24,876","589,877",,7.9,6.3,"1,502,139","9,492",118
10,Nevada,NV,Las Vegas,"583,756","279,703","62,008","2,391","34,606","3,103",37709,"1,101","16,985","183,859",,6.5,7.6,"1,500,455","11,374",97
11,Florida,FL,Orlando,"238,300","98,533","63,584",483,"8,756",130,8886,"1,688","4,643","60,483",,6.7,9.1,"253,238","2,316",17
12,Texas,TX,Garland,"226,876","83,259","32,164",789,"21,162",65,21227,308,"3,345","85,784",,2.5,2.2,"235,683",514,6
13,California,CA,Stockton,"291,707","66,836","33,507","1,237","60,323","1,622",61945,470,"10,122","117,590",,10.7,12.1,"299,796","3,622",32
14,California,CA,Los Angeles,"3,792,621","1,086,908","347,380","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822",2.0,6.5,4.3,"3,878,725","16,524",251
15,California,CA,Fresno,"494,665","148,598","37,885","3,127","60,939",663,61602,984,"10,414","232,055",,7.9,5.0,"508,876","2,552",40
16,Missouri,MO,St. Louis,"319,294","134,702","156,389",684,"9,233",62,9295,478,"6,616","11,130",4.0,37.7,15.9,"318,563","5,077",120
17,Kansas,KS,Wichita,"382,368","246,744","42,676","3,424","18,272",311,18583,472,"12,121","58,348",,3.9,7.9,"386,486","3,065",15
18,California,CA,San Francisco,"805,235","337,451","46,781","1,828","265,700","3,128",268828,"2,494","26,079","121,774",,5.8,8.5,"833,863","7,064",48
19,Virginia,VA,Norfolk,"242,803","107,463","102,452",935,"7,861",359,8220,471,"7,118","16,144",,11.3,5.7,"247,303","1,418",28
20,Alabama,AL,Birmingham,"212,237","44,819","155,258",361,"2,132",48,2180,150,"1,765","7,704",,29.7,13.5,"212,001","2,852",63
21,Ohio,OH,Columbus,"787,033","466,615","217,694","1,643","31,734",462,32196,"2,032","22,494","44,359",4.0,10.9,5.1,"201,165","1,022",22
22,Nebraska,NE,Omaha,"408,958","278,172","55,128","2,263","9,889",253,10142,806,"8,894","53,553",,9.9,5.8,"425,076","2,449",42
23,Florida,FL,Jacksonville,"821,784","452,525","247,516","2,687","34,731",668,35399,"1,949","18,223","63,485",,11.0,6.2,"845,745","5,246",93
24,Illinois,IL,Chicago,"2,695,598","854,717","872,286","4,097","144,903",557,145460,"4,227","35,949","778,862",14.0,15.2,9.0,"2,720,554","24,469",414
25,Florida,FL,Miami,"399,457","47,622","64,993",361,"3,649",58,3707,676,"2,642","279,456",3.0,17.0,11.8,"418,394","4,945",71
26,Ohio,OH,Cincinnati,"296,943","142,831","132,307",549,"5,434",168,5602,721,"6,625","8,308",,23.6,9.5,"296,491","2,826",70
27,Kentucky,KY,Louisville,"597,337","408,157","135,138","1,289","12,764",347,13111,"1,018","11,834","26,790",,7.2,5.4,"671,120","3,644",48
28,Missouri,MO,Kansas City Missouri,"459,787","252,257","135,916","1,823","11,275",787,12062,709,"11,067","45,953",,21.3,12.6,"465,514","5,864",99
29,District of Columbia,DC,Washington,"601,723","209,464","301,053","1,322","20,818",216,21034,"1,451","12,650","54,749",,15.9,12.2,"646,449","7,880",103
30,North Carolina,NC,Winston-Salem,"229,617","108,222","78,065",567,"4,536",138,4674,535,"3,801","33,753",,6.4,6.0,"235,811","1,426",15
31,Maryland,MD,Baltimore,"620,961","174,120","392,938","1,884","14,397",192,14589,942,"10,528","25,960",11.0,37.4,14.0,"622,671","8,725",233
32,Texas,TX,Houston,"2,099,451","537,901","485,956","3,528","124,859",711,125570,"4,128","22,700","919,668",8.0,9.8,9.6,"2,180,606","20,993",214
33,Florida,FL,Tampa,"335,709","155,552","83,032",755,"11,362",207,11569,794,"6,535","77,472",,8.0,6.0,"351,314","2,097",28
34,Tennessee,TN,Nashville,"601,222","338,782","169,272","1,418","18,497",275,18772,"1,155","11,433","60,390",,5.5,10.4,"635,673","6,612",35
35,Texas,TX,Dallas,"1,197,816","345,205","294,159","3,167","33,609",311,33920,"1,824","12,232","507,309",10.0,11.4,6.6,"1,255,015","8,330",143
36,Louisiana,LA,New Orleans,"343,829","104,770","204,866",827,"9,883",105,9988,967,"4,360","18,051",5.0,41.4,7.9,"377,022","2,965",156
37,Ohio,OH,Cleveland,"396,815","132,710","208,208",997,"7,213",70,7283,599,"7,484","39,534",4.0,14.1,14.8,"389,181","5,751",55
38,California,CA,Oakland,"390,724","101,308","106,637","1,214","65,127","2,081",67208,"1,213","14,076","99,068",,22.3,19.8,"403,887","7,984",90
39,North Carolina,NC,Greensboro,"269,666","122,888","108,233","1,096","10,711",128,10839,703,"5,571","20,336",,9.7,5.2,"279,343","1,449",27
40,Indiana,IN,Indianapolis,"820,445","480,960","223,053","1,760","17,053",274,17327,"2,123","17,870","77,352",,15.2,12.3,"850,220","10,479",129
41,Wisconsin,WI,Milwaukee,"594,833","220,219","233,325","3,408","20,553",195,20748,819,"13,307","103,007",,17.3,13.6,"600,805","8,194",104
42,Massachusetts,MA,Boston,"617,594","290,312","138,073","1,227","54,846",182,55028,"10,078","14,959","107,917",,6.1,7.8,"643,799","5,037",39
43,New York,NY,New York,"8,175,133","2,722,904","1,861,295","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076",19.0,4.0,6.2,"8,396,126","52,384",335
44,North Carolina,NC,Charlotte,"731,424","329,545","252,007","2,250","36,115",436,36551,"1,960","13,423","95,688",,7.0,6.1,"837,638","5,093",59
45,Michigan,MI,Detroit,"713,777","55,604","586,573","1,927","7,436",82,7518,994,"12,482","48,679",6.0,45.2,20.7,"699,889","14,504",316
46,Pennsylvania,PA,Philadelphia,"1,526,006","562,585","644,287","3,498","95,521",457,95978,"4,105","27,942","187,611",7.0,15.9,11.0,"1,553,153","17,074",247
47,Tennessee,TN,Memphis,"646,889","177,735","408,075","1,186","10,067",159,10226,742,"6,931","41,994",22.0,18.9,16.6,"657,691","10,894",124
48,Alaska,AK,Anchorage,"291,826","182,814","15,308","22,047","23,208","5,776",28984,562,"20,050","22,061",,4.7,8.1,"299,455","2,435",14
49,Arizona,AZ,Chandler,"236,123","145,724","10,580","2,715","19,119",365,19484,369,"5,443","51,808",,0.8,2.3,"248,718",575,2
50,Arizona,AZ,Glendale,"226,721","116,866","12,766","2,707","8,618",355,8973,329,"4,579","80,501",,5.6,3.9,"234,006",905,13
51,Arizona,AZ,Mesa,"439,041","282,505","14,101","8,359","8,174","1,532",9706,555,"8,062","115,753",,4.8,4.0,"456,155","1,807",22
52,Arizona,AZ,Scottsdale,"217,385","182,011","3,484","1,462","7,128",189,7317,276,"3,610","19,225",,1.8,1.5,"225,523",337,4
53,Arizona,AZ,Tucson,"520,116","245,323","23,362","8,776","14,211",951,15162,792,"10,393","216,308",,8.9,6.4,"525,486","3,368",47
54,California,CA,Anaheim,"336,265","92,362","8,209",743,"49,210","1,437",50647,628,"6,209","177,467",,3.2,3.3,"345,320","1,130",11
55,California,CA,Chula Vista,"243,916","49,641","9,972",600,"33,581","1,105",34686,360,"6,591","142,066",,0.8,2.3,"255,073",595,2
56,California,CA,Fremont,"214,089","56,766","6,743",458,"107,679","1,064",108743,388,"9,293","31,698",,0.4,1.2,"224,475",273,1
57,California,CA,Irvine,"212,375","95,822","3,494",199,"82,722",295,83017,554,"9,668","19,621",,0.8,0.5,"235,830",113,2
58,California,CA,Long Beach,"462,257","135,698","59,925","1,349","58,268","4,915",63183,"1,118","12,572","188,412",,7.2,5.0,"469,665","2,346",34
59,California,CA,Riverside,"303,871","103,398","19,917","1,297","21,934","1,019",22953,617,"6,736","148,953",,3.2,4.2,"316,423","1,330",10
60,California,CA,Sacramento,"466,488","161,062","64,967","2,586","83,841","6,392",90233,"1,253","21,111","125,276",,7.1,6.6,"478,182","3,137",34
61,California,CA,San Bernardino,"209,924","39,977","29,897",867,"8,027",704,8731,361,"4,097","125,994",,22.9,9.1,"214,322","1,949",49
62,California,CA,San Diego,"1,307,402","589,702","82,497","3,545","204,347","5,178",209525,"3,293","42,820","376,020",,2.9,3.9,"1,349,306","5,303",39
63,California,CA,San Jose,"945,942","271,382","27,508","2,255","300,022","3,492",303514,"1,820","25,827","313,636",,3.8,3.2,"992,143","3,215",38
64,California,CA,Santa Ana,"324,528","29,950","3,177",507,"33,618",826,34444,375,"2,147","253,928",,3.9,3.4,"332,848","1,121",13
65,Colorado,CO,Aurora,"325,078","153,715","49,003","1,487","15,735",919,16654,677,"10,279","93,263",,6.7,4.2,"343,484","1,436",23
66,Colorado,CO,Colorado Springs,"416,427","294,598","24,391","2,403","12,206","1,092",13298,768,"14,103","66,866",,6.0,4.3,"436,108","1,893",26
67,Colorado,CO,Denver,"600,158","313,012","58,388","3,525","19,925",495,20420,"1,208","12,640","190,965",,6.2,6.3,"648,981","4,087",40
68,Florida,FL,St. Petersburg,"244,769","157,409","57,489",567,"7,672",106,7778,539,"4,773","16,214",,6.1,9.6,"247,084","2,379",15
69,Georgia,GA,Atlanta,"420,003","152,377","224,316",754,"13,098",115,13213,739,"6,789","21,815",5.0,18.6,12.2,"451,020","5,517",84
70,Hawaii,HI,Honolulu,"337,256","55,762","4,642",517,"182,792","27,346",210138,512,"47,384","18,301",,4.7,7.7,"337,256","2,605",16
71,Indiana,IN,Fort Wayne,"253,691","178,436","38,514",730,"8,279",91,8370,542,"6,899","20,200",,12.2,3.7,"254,820",949,31
72,Kentucky,KY,Lexington,"295,803","216,072","42,336",599,"9,506",107,9613,546,"6,163","20,474",,5.8,3.1,"308,712",946,18
73,Louisiana,LA,Baton Rouge,"229,493","86,679","124,542",397,"7,469",39,7508,332,"2,382","7,653",,21.3,9.2,"230,212","2,127",49
74,Minneapolis,MN,Minneapolis,"382,578","230,650","69,971","6,351","21,399",168,21567,962,"13,004","40,073",0.0,9.1,10.2,"396,206","4,038",36
75,Minneapolis,MN,St. Paul,"285,068","159,437","43,620","2,316","42,494",120,42614,494,"9,276","27,311",,4.8,7.5,"294,690","2,200",14
76,North Carolina,NC,Durham,"228,330","86,519","92,285",611,"11,478",129,11607,616,"4,233","32,459",,12.2,4.8,"245,475","1,177",30
77,North Carolina,NC,Raleigh,"403,892","215,204","115,976","1,019","17,309",139,17448,828,"7,549","45,868",,2.8,3.9,"428,993","1,683",12
78,Nebraska,NE,Lincoln,"258,379","214,739","9,541","1,611","9,711",128,9839,353,"6,114","16,182",,1.9,3.7,"267,565",990,5
79,New Jersey,NJ,Newark,"277,140","32,122","138,074",713,"4,318",68,4386,"3,899","4,200","93,746",,40.3,12.6,"278,246","3,516",112
80,Nevada,NV,Henderson,"257,729","177,039","12,471","1,182","18,172","1,354",19526,479,"8,655","38,377",,3.0,1.4,"268,237",367,8
81,Nevada,NV,Reno,"225,221","140,752","5,990","2,066","13,913","1,505",15418,441,"5,914","54,640",,5.6,5.0,"232,561","1,154",13
82,New York,NY,Buffalo,"261,310","119,801","97,637","1,597","8,313",79,8392,445,"5,919","27,519",,18.2,12.6,"258,789","3,249",47
83,New York,NY,Rochester,"210,565","79,178","83,346",666,"6,350",77,6427,392,"6,100","34,456",,19.9,10.0,"210,562","2,107",42
84,Ohio,OH,Toledo,"287,208","176,468","76,820",755,"3,204",64,3268,522,"8,144","21,231",,9.9,10.3,"283,035","2,902",28
85,Oregon,OR,Portland,"583,776","421,773","35,462","4,381","41,335","2,978",44313,"1,299","21,708","54,840",,2.3,4.8,"609,136","2,941",14
86,Pennsylvania,PA,Pittsburgh,"305,704","198,186","78,847",505,"13,393",76,13469,843,"6,890","6,964",,14.6,7.3,"307,632","2,259",45
87,Texas,TX,Arlington,"365,438","164,022","67,087","1,338","24,564",373,24937,597,"7,188","100,269",,4.8,4.8,"378,765","1,837",18
88,Texas,TX,Austin,"790,390","385,271","60,760","1,967","49,159",401,49560,"1,448","13,677","277,707",,3.0,3.6,"859,180","3,123",26
89,Texas,TX,Corpus Christi,"305,215","101,593","11,912",792,"5,398",204,5602,369,"2,766","182,181",,5.7,6.2,"314,523","1,939",18
90,Texas,TX,El Paso,"649,121","92,426","18,155","1,633","7,092",737,7829,543,"4,814","523,721",,1.5,3.7,"679,700","2,522",10
91,Texas,TX,Fort Worth,"741,206","309,312","136,941","2,481","27,095",615,27710,993,"11,301","252,468",,6.1,5.6,"789,035","4,420",48
92,Texas,TX,Irving,"216,290","66,559","25,550",807,"30,161",221,30382,434,"3,591","88,967",,0.9,2.3,"228,367",530,2
93,Texas,TX,Laredo,"236,091","8,086",478,87,"1,313",11,1324,121,245,"225,750",,1.2,4.2,"247,353","1,027",3
94,Texas,TX,Lubbock,"229,573","127,915","18,744",845,"5,471",147,5618,241,"2,585","73,625",,2.1,7.7,"237,875","1,829",5
95,Texas,TX,Plano,"259,841","151,629","19,199",831,"43,659",121,43780,449,"5,779","38,174",,1.1,1.4,"275,795",389,3
96,Virginia,VA,Chesapeake,"222,209","134,251","65,204",720,"6,289",147,6436,266,"5,626","9,706",,3.9,3.2,"230,577",737,9
97,Virginia,VA,Virginia Beach,"437,994","282,470","83,210","1,349","26,312",602,26914,863,"14,201","28,987",,3.8,1.6,"450,687",730,17
98,Washington,WA,Seattle,"608,660","403,578","47,113","3,881","83,537","2,246",85783,"1,464","26,512","40,329",,3.0,5.8,"642,814","3,758",19
99,Washington,WA,Spokane,"208,916","175,482","4,643","3,663","5,266","1,152",6418,281,"7,962","10,467",,5.2,6.9,"209,524","1,440",11
